|  5460856 | {"raw":[{"data":{"PM2.5":"0","PM10":"0","PM1.0":"0"},"id":"NIDS_DUST2"}]}    | 2021-03-01 16:10:25 | az13077 |           1 |
|  5460857 | {"raw":[{"data":{"PM2.5":"0","PM10":"0","PM1.0":"0"},"id":"NIDS_DUST2"}]}    | 2021-03-01 16:10:55 | az13077 |           1 |
|  5460858 | {"raw":[{"data":{"PM2.5":"0","PM10":"0","PM1.0":"0"},"id":"NIDS_DUST2"}]}    | 2021-03-01 16:12:35 | az13077 |           1 |
|  5460859 | {"raw":[{"data":{"PM2.5":"0","PM10":"0","PM1.0":"0"},"id":"NIDS_DUST2"}]}    | 2021-03-01 16:13:06 | az13077 |           1 |
|  5460860 | {"raw":[{"data":{"PM2.5":"0","PM10":"0","PM1.0":"0"},"id":"NIDS_DUST2"}]}    | 2021-03-01 16:13:36 | az13077 |           1 |
|  5460861 | {"raw":[{"data":{"PM2.5":"13","PM10":"13","PM1.0":"1"},"id":"NIDS_DUST2"}]}  | 2021-03-01 16:14:07 | az13077 |           1 |
|  5460862 | {"raw":[{"data":{"PM2.5":"0","PM10":"0","PM1.0":"0"},"id":"NIDS_DUST2"}]}    | 2021-03-01 16:14:38 | az13077 |           1 |
|  5460863 | {"raw":[{"data":{"PM2.5":"0","PM10":"0","PM1.0":"0"},"id":"NIDS_DUST2"}]}    | 2021-03-01 16:15:08 | az13077 |           1 |
|  5460864 | {"raw":[{"data":{"PM2.5":"0","PM10":"0","PM1.0":"0"},"id":"NIDS_DUST2"}]}    | 2021-03-01 16:15:38 | az13077 |           1 |
|  5460865 | {"raw":[{"data":{"PM2.5":"0","PM10":"0","PM1.0":"0"},"id":"NIDS_DUST2"}]}    | 2021-03-01 16:16:08 | az13077 |           1 |
|  5460866 | {"raw":[{"data":{"PM2.5":"1","PM10":"1","PM1.0":"1"},"id":"NIDS_DUST2"}]}    | 2021-03-01 16:16:45 | az13077 |           1 |
|  5460867 | {"raw":[{"data":{"PM2.5":"0","PM10":"0","PM1.0":"0"},"id":"NIDS_DUST2"}]}    | 2021-03-01 16:17:15 | az13077 |           1 |
|  5460868 | {"raw":[{"data":{"PM2.5":"1","PM10":"1","PM1.0":"1"},"id":"NIDS_DUST2"}]}    | 2021-03-01 16:17:45 | az13077 |           1 |
|  5460869 | {"raw":[{"data":{"PM2.5":"0","PM10":"0","PM1.0":"0"},"id":"NIDS_DUST2"}]}    | 2021-03-01 16:18:16 | az13077 |           1 |
|  5460870 | {"raw":[{"data":{"PM2.5":"0","PM10":"0","PM1.0":"0"},"id":"NIDS_DUST2"}]}    | 2021-03-01 16:18:46 | az13077 |           1 |
|  5460871 | {"raw":[{"data":{"PM2.5":"0","PM10":"0","PM1.0":"0"},"id":"NIDS_DUST2"}]}    | 2021-03-01 16:19:16 | az13077 |           1 |
|  5460872 | {"raw":[{"data":{"PM2.5":"0","PM10":"0","PM1.0":"0"},"id":"NIDS_DUST2"}]}    | 2021-03-01 16:19:47 | az13077 |           1 |
|  5460873 | {"raw":[{"data":{"PM2.5":"0","PM10":"0","PM1.0":"0"},"id":"NIDS_DUST2"}]}    | 2021-03-01 16:20:17 | az13077 |           1 |
|  5460874 | {"raw":[{"data":{"PM2.5":"12","PM10":"12","PM1.0":"0"},"id":"NIDS_DUST2"}]}  | 2021-03-01 16:20:47 | az13077 |           1 |
|  5460875 | {"raw":[{"data":{"PM2.5":"1","PM10":"1","PM1.0":"1"},"id":"NIDS_DUST2"}]}    | 2021-03-01 16:21:18 | az13077 |           1 |
|  5460876 | {"raw":[{"data":{"PM2.5":"0","PM10":"0","PM1.0":"0"},"id":"NIDS_DUST2"}]}    | 2021-03-01 16:21:48 | az13077 |           1 |
|  5460877 | {"raw":[{"data":{"PM2.5":"0","PM10":"0","PM1.0":"0"},"id":"NIDS_DUST2"}]}    | 2021-03-01 16:22:19 | az13077 |           1 |
|  5460878 | {"raw":[{"data":{"PM2.5":"0","PM10":"0","PM1.0":"0"},"id":"NIDS_DUST2"}]}    | 2021-03-01 16:22:49 | az13077 |           1 |
|  5460879 | {"raw":[{"data":{"PM2.5":"1","PM10":"1","PM1.0":"1"},"id":"NIDS_DUST2"}]}    | 2021-03-01 16:23:19 | az13077 |           1 |
|  5460880 | {"raw":[{"data":{"PM2.5":"0","PM10":"0","PM1.0":"0"},"id":"NIDS_DUST2"}]}    | 2021-03-01 16:24:30 | az13077 |           1 |
|  5460881 | {"raw":[{"data":{"PM2.5":"0","PM10":"0","PM1.0":"0"},"id":"NIDS_DUST2"}]}    | 2021-03-01 16:25:00 | az13077 |           1 |
|  5460882 | {"raw":[{"data":{"PM2.5":"2","PM10":"2","PM1.0":"2"},"id":"NIDS_DUST2"}]}    | 2021-03-01 16:25:30 | az13077 |           1 |
|  5460883 | {"raw":[{"data":{"PM2.5":"0","PM10":"0","PM1.0":"0"},"id":"NIDS_DUST2"}]}    | 2021-03-01 16:26:01 | az13077 |           1 |
|  5460884 | {"raw":[{"data":{"PM2.5":"2","PM10":"2","PM1.0":"2"},"id":"NIDS_DUST2"}]}    | 2021-03-01 16:26:32 | az13077 |           1 |
|  5460885 | {"raw":[{"data":{"PM2.5":"0","PM10":"0","PM1.0":"0"},"id":"NIDS_DUST2"}]}    | 2021-03-01 16:27:03 | az13077 |           1 |
|  5460886 | {"raw":[{"data":{"PM2.5":"12","PM10":"12","PM1.0":"0"},"id":"NIDS_DUST2"}]}  | 2021-03-01 16:27:34 | az13077 |           1 |
|  5460887 | {"raw":[{"data":{"PM2.5":"0","PM10":"0","PM1.0":"0"},"id":"NIDS_DUST2"}]}    | 2021-03-01 16:28:05 | az13077 |           1 |
|  5460888 | {"raw":[{"data":{"PM2.5":"0","PM10":"0","PM1.0":"0"},"id":"NIDS_DUST2"}]}    | 2021-03-01 16:28:35 | az13077 |           1 |
|  5460889 | {"raw":[{"data":{"PM2.5":"0","PM10":"0","PM1.0":"0"},"id":"NIDS_DUST2"}]}    | 2021-03-01 16:29:05 | az13077 |           1 |
|  5460890 | {"raw":[{"data":{"PM2.5":"0","PM10":"0","PM1.0":"0"},"id":"NIDS_DUST2"}]}    | 2021-03-01 16:29:36 | az13077 |           1 |
|  5460891 | {"raw":[{"data":{"PM2.5":"0","PM10":"0","PM1.0":"0"},"id":"NIDS_DUST2"}]}    | 2021-03-01 16:30:06 | az13077 |           1 |
|  5460892 | {"raw":[{"data":{"PM2.5":"0","PM10":"0","PM1.0":"0"},"id":"NIDS_DUST2"}]}    | 2021-03-01 16:30:36 | az13077 |           1 |
|  5460893 | {"raw":[{"data":{"PM2.5":"0","PM10":"0","PM1.0":"0"},"id":"NIDS_DUST2"}]}    | 2021-03-01 16:31:06 | az13077 |           1 |
|  5460894 | {"raw":[{"data":{"PM2.5":"0","PM10":"0","PM1.0":"0"},"id":"NIDS_DUST2"}]}    | 2021-03-01 16:31:37 | az13077 |           1 |
|  5460895 | {"raw":[{"data":{"PM2.5":"0","PM10":"0","PM1.0":"0"},"id":"NIDS_DUST2"}]}    | 2021-03-01 16:32:07 | az13077 |           1 |
|  5460896 | {"raw":[{"data":{"PM2.5":"0","PM10":"0","PM1.0":"0"},"id":"NIDS_DUST2"}]}    | 2021-03-01 16:32:38 | az13077 |           1 |
|  5460897 | {"raw":[{"data":{"PM2.5":"0","PM10":"0","PM1.0":"0"},"id":"NIDS_DUST2"}]}    | 2021-03-01 16:33:13 | az13077 |           1 |
|  5460898 | {"raw":[{"data":{"PM2.5":"0","PM10":"0","PM1.0":"0"},"id":"NIDS_DUST2"}]}    | 2021-03-01 16:33:44 | az13077 |           1 |
|  5460899 | {"raw":[{"data":{"PM2.5":"0","PM10":"0","PM1.0":"0"},"id":"NIDS_DUST2"}]}    | 2021-03-01 16:34:14 | az13077 |           1 |
|  5460900 | {"raw":[{"data":{"PM2.5":"0","PM10":"0","PM1.0":"0"},"id":"NIDS_DUST2"}]}    | 2021-03-01 16:34:45 | az13077 |           1 |
|  5460901 | {"raw":[{"data":{"PM2.5":"0","PM10":"0","PM1.0":"0"},"id":"NIDS_DUST2"}]}    | 2021-03-01 16:35:15 | az13077 |           1 |
|  5460902 | {"raw":[{"data":{"PM2.5":"0","PM10":"0","PM1.0":"0"},"id":"NIDS_DUST2"}]}    | 2021-03-01 16:35:47 | az13077 |           1 |
