type 0,type 1,type 2,type 3,type 4,type 5,type 6,type 7,type 8,type 9,type 10,type 11,type 12,type 13,type 14,type 15,type 16,type 17,type 18,type 19,type 20,type 21,type 22,type 23,type 24,type 25,type 26,type 27,type 28,type 29,type 30,type 31,type 32,type 33,type 34,type 35,type 36,type 37,type 38,type 39,type 40,type 41,type 42,type 43,type 44,type 45,type 46,type 47,type 48,type 49,type 50,type 51,type 52,type 53,type 54,type 55,type 56,type 57,type 58,type 59,type 60,type 61,type 62,type 63,type 64,type 65,type 66,type 67,type 68,type 69,type 70,type 71,type 72,type 73,type 74,type 75,type 76,type 77,type 78
4,8,9,3,23,24,14,2,9,39,6,6,6,5,16,52,36,69,62,49,55,11,18,14,14,7,52,7,18,12,13,9,6,16,10,11,7,8,11,7,16,12,8,5,7,10,9,10,9,9,8,9,10,9,9,7,12,6,7,6,5,11,23,13,19,19,16,17,28,8,16,17,10,9,19,16,7,32,13
  4,  8,  12,  3,  4,  34,  19,  14,  5,  24,  18,  18,  3,  5,  17, 52, 35, 51, 55, 52, 51, 8, 16, 17, 17, 7, 51, 7, 19, 12, 11, 10, 9, 12, 10, 13, 6, 12, 10, 10, 16, 12, 12, 7, 7, 9, 5, 11, 6, 9, 6, 11, 9, 13, 9, 10, 11, 8, 9, 6, 7, 8, 17, 16, 18, 18, 23, 18, 26, 12, 17, 15, 12, 11,23, 20, 6, 26, 11
  5,  14,  33,  4,  17,  47,  3,  3,  33,  29,  6,  6,  6,  6,  33, 57, 39, 50, 64, 47, 51, 8, 13, 19, 19, 11, 48, 10, 18, 16, 14, 7, 8, 6, 11, 10, 9, 12, 12, 7, 15, 13, 11, 6, 5, 4, 4, 12, 8, 7, 9, 12, 13, 13, 7, 5, 10, 14, 8, 8, 7, 7, 20, 17, 13, 13, 21, 15, 24, 15, 13, 13, 15, 9, 21, 17, 13, 16, 15
  4 ,  16,  9,  3,  13,  59,  6,  2,  19,  37,  6,  6,  4,  4,  7, 51, 33, 56, 63, 51, 42, 5, 16, 19, 19, 11, 46, 8, 16, 16, 17, 6, 10, 6, 12, 9, 9, 8, 10, 6, 13, 11, 9, 7, 6, 8, 2, 10, 6, 3, 7, 9, 10, 9, 7, 6, 11, 17, 9, 7, 9, 8, 17, 19, 11, 11, 20, 13, 19, 19, 18, 10, 15, 6, 19, 15, 18, 25, 14
 5,  23,  27,  3,  13,  48,  17,  1,  6,  36,  3,  3,  3,  5,  6, 51, 27, 60, 43, 54, 41, 5, 14, 17, 17, 13, 45, 9, 19, 15, 17, 6, 12, 5, 16, 8, 9, 4, 12, 4, 12, 11, 9, 6, 8, 12, 7, 7, 10, 3, 11, 11, 7, 9, 8, 6, 11, 17, 7, 8, 5, 9, 16, 16, 12, 12, 17, 19, 17, 17, 17, 7, 15, 5, 17, 10, 19, 27, 14
  4,  23,  21,  3,  25,  61,  1,  3,  4,  80,  16,  16,  5,  4,  20, 50, 30, 53, 45, 55, 44, 7, 16, 15, 26, 25, 40, 7, 14, 12, 18, 11, 12, 6, 12, 14, 6, 6, 12, 3, 10, 9, 11, 8, 12, 15, 9, 7, 7, 5, 13, 10, 6, 7, 8, 7, 8, 14, 7, 6, 4, 21, 14, 13, 13, 13, 16, 20, 14, 13, 16, 8, 14, 6, 15, 9, 16, 21, 9
  4,  42,  9,  4,  5,  23,  3,  3,  20,  102,  13,  13,  7,  3,  4, 41, 38, 42, 58, 45, 40, 6, 16, 13, 23, 58, 42, 10, 12, 16, 20, 12, 11, 7, 11, 12, 8, 6, 25, 4, 8, 7, 15, 7, 10, 17, 9, 10, 9, 9, 11, 15, 5, 8, 9, 7, 4, 10, 4, 6, 3, 28, 18, 12, 19, 19, 16, 20, 15, 9, 8, 12, 11, 8, 21, 10, 14, 22, 10
  7,  25,  13,  7,  6,  36,  3,  16,  12,  80,  16,  16,  8,  9,  19, 56, 42, 49, 59, 45, 41, 6, 14, 20, 16, 83, 53, 9, 7, 15, 15, 16, 10, 7, 9, 16, 10, 7, 25, 9, 6, 7, 12, 6, 14, 14, 8, 11, 6, 10, 9, 11, 7, 6, 9, 7, 3, 13, 4, 4, 3, 26, 19, 16, 23, 23, 18, 14, 12, 11, 9, 15, 11, 7, 21, 11, 20, 15, 9
  11,  44,  12,  10,  16,  39,  5,  4,  4,  113,  6,  6,  20,  16,  7, 63, 35, 58, 53, 45, 43, 9, 13, 24, 12, 74, 49, 9, 8, 16, 12, 14, 12, 11, 9, 12, 11, 6, 24, 11, 9, 5, 13, 6, 13, 14, 11, 8, 6, 8, 4, 10, 8, 7, 13, 5, 4, 12, 8, 5, 3, 16, 20, 20, 25, 25, 18, 12, 12, 14, 9, 14, 11, 6, 19, 11, 18, 16, 12
  4,  21,  20,  15,  19,  54,  28,  6,  5,  84,  18,  18,  9,  15,  6, 47, 43, 63, 54, 36, 46, 16, 14, 28, 10, 98, 42, 6, 11, 17, 10, 14, 14, 11, 10, 16, 14, 6, 14, 10, 11, 6, 9, 7, 16, 11, 14, 9, 7, 6, 7, 5, 14, 7, 14, 3, 4, 9, 7, 9, 3, 11, 18, 24, 15, 15, 13, 11, 11, 21, 9, 11, 10, 5, 13, 15, 16, 18, 10
